[diag] 5 FPS | 193.7 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 193.3 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 192.1 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.2 ms/frame | 99 draws | 10 entities
[diag] 10000000 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 3996378 FPS | 188.9 ms/frame | 99 draws | 10 entities
[diag] 1886938 FPS | 241.4 ms/frame | 99 draws | 10 entities
[diag] 890942 FPS | 241.8 ms/frame | 99 draws | 10 entities
[diag] 420670 FPS | 243.2 ms/frame | 99 draws | 10 entities
[diag] 198627 FPS | 239.6 ms/frame | 99 draws | 10 entities
[diag] 93786 FPS | 241.0 ms/frame | 99 draws | 10 entities
[diag] 44284 FPS | 242.7 ms/frame | 99 draws | 10 entities
[diag] 20912 FPS | 238.1 ms/frame | 99 draws | 10 entities
[diag] 9876 FPS | 241.6 ms/frame | 99 draws | 10 entities
[diag] 4665 FPS | 240.6 ms/frame | 99 draws | 10 entities
[diag] 2205 FPS | 237.1 ms/frame | 99 draws | 10 entities
[diag] 1043 FPS | 236.3 ms/frame | 99 draws | 10 entities
[diag] 495 FPS | 238.7 ms/frame | 99 draws | 10 entities
[diag] 236 FPS | 237.3 ms/frame | 99 draws | 10 entities
[diag] 114 FPS | 236.7 ms/frame | 99 draws | 10 entities
[diag] 56 FPS | 235.9 ms/frame | 99 draws | 10 entities
[diag] 29 FPS | 236.8 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 188.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 194.4 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 194.2 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 191.8 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 193.8 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.5 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 194.4 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 193.3 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 193.9 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 195.4 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 196.4 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 201.6 ms/frame | 99 draws | 10 entities
[diag] 5 FPS | 201.6 ms/frame | 99 draws | 10 entities
[diag] 0 FPS | 0.000 ms/frame | 99 draws | 10 entities
[diag] 10 FPS | 92.19 ms/frame | 98 draws | 10 entities
[diag] 11 FPS | 94.01 ms/frame | 98 draws | 10 entities
[diag] 12 FPS | 97.82 ms/frame | 98 draws | 10 entities
[diag] 13 FPS | 78.14 ms/frame | 98 draws | 10 entities
[diag] 13 FPS | 79.04 ms/frame | 98 draws | 10 entities
[diag] 13 FPS | 78.42 ms/frame | 98 draws | 10 entities
[diag] 12 FPS | 80.80 ms/frame | 98 draws | 10 entities
[diag] 13 FPS | 78.35 ms/frame | 98 draws | 10 entities
